x,y
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,7
9,7
10,8
11,9
12,10
13,11
14,12
15,13
16,14
17,14
18,14
19,15
20,15
21,15
22,16
23,16
24,16
25,16
26,17
27,17
28,18
29,19
30,20
31,21
32,21
33,21
34,21
35,21
36,22
37,22
38,22
39,22
40,22
41,22
42,22
43,22
43,22
44,22
45,23
46,23
47,23
48,24
49,24
50,24
51,24
52,24
53,24
54,24
55,25
56,25
57,25
58,25
59,25
60,25
61,25
62,25
63,25
64,25
65,25
66,26
67,26
68,26
69,26
70,26
71,26
72,26
73,26
74,26
75,26
76,26
77,26
78,27
79,27
80,27
81,27
82,27
83,27
84,27
85,27
86,27
87,27
88,27
89,27
90,27
91,27
92,27
93,27
94,27
95,27
96,28
97,28
98,28
99,28
100,28
101,28
102,28
103,28
104,29
105,29
106,29
107,29
108,29
109,29
110,29
111,29
112,29
113,29
114,29
115,29
116,30
117,30
118,30
119,30
120,30
121,30
122,30
123,31
124,31
125,31
126,31
127,31
128,31
129,31
130,31
131,31
132,31
133,31
134,31
135,32
136,32
137,32
