DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
123,1.19974
208,1.10217
128,1.19974
140,1.19974
197,131.71575
204,3.55338
5,3.01375
217,3.81676
187,1.19974
189,83.2527
198,83.2527
174,1.19974
216,3.81676
186,1.19974
195,83.2527
213,1.10217
218,3.81676
183,1.19974
206,3.55338
141,83.2527
205,3.55338
196,83.2527
20,1.10217
212,5.38646
159,1.19974
157,83.2527
219,3.81676
214,1.10217
139,1.19974
192,242.07617
2,1.10217
220,3.81676
1,1.19974
207,1.10217
19,1.10217
209,2.064257
127,1.19974
177,1.19974
3,1.10217
190,83.2527
191,131.71575
171,1.19974
