DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
171,0.302497
186,0.302497
187,0.302497
192,24.9757
5,0.543716
206,4.32357
198,4.87239
123,0.302497
216,34.1715
212,8.40877
195,4.87239
196,4.87239
127,0.302497
208,0.0
3,0.0
204,4.32357
209,0.435392
141,4.87239
219,34.1715
1,0.302497
207,0.0
183,0.302497
197,153.71758
159,0.302497
189,4.87239
205,4.32357
140,0.302497
220,34.1715
139,0.302497
213,0.0
2,0.0
157,4.87239
218,34.1715
128,0.302497
177,0.302497
217,34.1715
19,0.0
191,153.71758
174,0.302497
20,0.0
190,4.87239
214,0.0
