number,name,characteristics,occurences
1,orangebear,orange gummy bear,1
2,pinkbear,pink gummy bear,2
3,yellowbear,yellow gummy bear,5
4,whitebear,white gummy bear,5
5,greenbear,green gummy bear,4
6,jellyrodsyellow,long yellow jelly rods,6
7,jellyrodsorange,long orange jelly rods,9
8,jellyrodsred,long red jelly rods,5
9,redswirl,red swirl,1
10,blueswirl,blue swirl,1
11,ovalyellow,yellow oval,1
12,redfilamentous,"red, long string-like",2
13,cokebottlepink,pink coke bottle,1
14,kissessilver,silver kisses,7
15,smallbluebrick,small blue brick,1
16,smallyellowbrick,small yellow brick,1
17,smallpinkbrick,small pink brick,1
18,biggreen,large round green jelly,1
19,bigpurple,large round purple jelly,1
20,bigred,large round red jelly,1
21,bigorange,large round orange jelly,1
22,m&morange,orange m&m,8
23,m&mgreen,green m&m,9
24,m&mred,red m&m,3
25,m&myellow,yellow m&m,10
26,m&mbrown,brown m&m,7
27,m&mblue,blue m&m,8
28,skittlesyellow,yellow skittle,5
29,skittlesorange,orange skittle,9
30,skittlered,red skittle,5
31,skittlebrown,brown skittle,1
32,skittlegreen,green skittle,10
