LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
1,Luteitalea pratensis | AMY09215.1
2,Hydrogenobacter hydrogenophilus | SNZ16971.1
3,Hydrogenobacter thermophilus TK-6 | BAE79480.1
4,Cecembia lonarensis LW9 | EKB49959.1
5,Aequorivita viscosa | SHJ13644.1
6,Arenibacter algicola | ASO05294.1
7,Bizionia echini | SFN50650.1
8,Cloacibacterium normanense | SDO62397.1
9,Flavobacterium glycines | SDJ00302.1
10,Flavobacterium granuli | SHH33294.1
11,Flavobacterium haoranii | SHJ40936.1
12,Lutibacter oricola | SDX37961.1
13,Lutibacter maritimus | SFS52051.1
14,Lutibacter flavus | SNR82691.1
15,Zobellia galactanivorans | CAZ98446.1
16,Bacteroidetes bacterium OLB8 | KXK18499.1
17,Bacteroidetes bacterium OLB11 | KXK43291.1
18,Bacteroidetes bacterium OLB10 | KXK44695.1
19,Methylacidiphilum fumariolicum SolV | CCG93328.1
20,Methylacidiphilum infernorum V4 | ABX56671.1
21,Magnetococcus marinus MC-1 | ABK42648.1
22,Rhodoblastus acidophilus | SNB68589.1
23,Afipia felis | CEG07029.1
24,Bosea lathyri | SEG49853.1
25,Bradyrhizobium japonicum | CAA10809.1
26,Bradyrhizobium sp. ORS 375 | CCD93390.1
27,Bradyrhizobium sp. Ghvi | SFP13381.1
28,Rhodopseudomonas palustris CGA009 | CAE26898.1
29,Brucella suis bv. 3 str. 686 | AIJ69854.1
30,Cohaesibacter marisflavi | SFP19918.1
31,Candidatus Filomicrobium marinum | CFX44463.1
32,Hyphomicrobium sp. GJ21 | CEJ86541.1
33,Agrobacterium sp. 719_389 | SNB75439.1
34,Rhizobium phaseoli | ANL30492.1
35,Rhizobium sp. NT-26 | CCF21365.1
36,Rhizobium sp. RU33A | SIQ84359.1
37,Rhizobium etli 8C-3 | APO78816.1
38,Rhizobium gallicum bv. gallicum R602 | AJD46120.1
39,Shinella sp. DD12 | EYR78630.1
40,Ensifer sp. OV372 | SFH16019.1
41,Sinorhizobium americanum CCGM7 | APG84065.1
42,Sinorhizobium meliloti 1021 | AAK65352.1
43,Aliiroseovarius sediminilitoris | SEW38025.1
44,Aliiroseovarius crassostreae | SFU76530.1
45,Antarctobacter heliothermus | ASP22548.1
46,Celeribacter indicus | SDW84100.1
47,Celeribacter neptunius | SFJ41871.1
48,Citreimonas salinaria | SDY79994.1
49,Cribrihabitans marinus | SEK02864.1
50,Dinoroseobacter shibae DFL 12 = DSM 16493 | ABV94916.1
51,Jannaschia rubra | CTQ32737.1
52,Jannaschia aquimarina | SNT43625.1
53,Labrenzia aggregata | CTQ46750.1
54,Labrenzia alba | CTQ63332.1
55,Labrenzia suaedae | SHN08351.1
56,Litoreibacter albidus | SDW98324.1
57,Litoreibacter janthinus | SFR50027.1
58,Litoreibacter ascidiaceicola | SHF21602.1
59,Loktanella tamlensis | SFR32927.1
60,Loktanella marina | SMY06365.1
61,Oceanicola litoreus | SIO30313.1
62,Pacificibacter marinus | SLN52704.1
63,Paracoccus sp. SY | AKE49361.1
64,Paracoccus chinensis | SDK92981.1
65,Paracoccus sanguinis | SDW54540.1
66,Paracoccus alcaliphilus | SEN35703.1
67,Paracoccus halophilus | SFA49106.1
68,Paracoccus aminovorans | SFH78934.1
69,Paracoccus pantotrophus | SFO06646.1
70,Paracoccus solventivorans | SHM37895.1
71,Pelagicola litorisediminis | SLN44623.1
72,Pelagimonas varians | SMX36439.1
73,Phaeobacter porticola | APG49183.1
74,Phaeobacter sp. CECT 5382 | CUH89682.1
75,Phaeobacter sp. CECT 7735 | CUJ88156.1
76,Phaeobacter inhibens 2.10 | AFO89564.1
77,Pontibaca methylaminivorans | SIT78685.1
78,Pseudooceanicola nitratireducens | SFC44678.1
79,Pseudopelagicola gijangensis | SHJ74293.1
80,Pseudorhodobacter antarcticus | SEN66885.1
81,Pseudoruegeria lutimaris | SDI44171.1
82,Pseudoruegeria aquimaris | SLN21975.1
83,Pseudovibrio sp. Tun.PHSC04-5.I4 | SDR33744.1
84,Pseudovibrio axinellae | SER51261.1
85,Pseudovibrio ascidiaceicola | SFK26395.1
86,Rhodobacter sphaeroides | AAC45371.1
87,Rhodobacter sp. SW2 | EEW26924.1
88,Rhodobacter vinaykumarii | SIS90964.1
89,Rhodobacter megalophilus | SNT13193.1
90,Roseobacter denitrificans | BAB84302.1
91,Roseovarius tolerans | KNX39861.1
92,Roseovarius nanhaiticus | SEL20350.1
93,Roseovarius indicus | SFD53373.1
94,Roseovarius marisflavi | SHK98034.1
95,Roseovarius pacificus | SHM58336.1
96,Roseovarius albus | SLN65264.1
97,Roseovarius aestuarii | SMC13074.1
98,Roseovarius mucosus DSM 17069 | KGM87402.1
99,Ruegeria atlantica | CUH44968.1
100,Ruegeria marina | SDD43395.1
101,Ruegeria mobilis | SDX66024.1
102,Silicibacter lacuscaerulensis ITI-1157 | SHJ77491.1
103,Ruegeria pomeroyi DSS-3 | AAV97351.1
104,Sedimentitalea nanhaiensis | SFT38912.1
105,Thalassobius aestuarii | SFL76677.1
106,Thalassobius maritimus | SHH48559.1
107,Tranquillimonas alkanivorans | SFQ25721.1
